,Product,OrignalPrice,DiscountPrice,Rating,NumUserRating,Occasion,Material,Pattern,Closure Type,Fit,Sleeve Type,Type,Rise Style,Neckline Type,Sold By,Country of Origin
2470,Multi Floral Ruffle Top Straight Pant Cord (Set of 2),"3,199","1,184",NaN,0,Casual,Polyester,Printed,Elastic,Comfortable,Puff Sleeves,N/A,N/A,Crew Neck,Khullar Appearls_parent,India
2471,Blue Pay Attention To Me Denim Shirt,"2,195","2,195",4.0,4.0,Casual,Denim,Solid/Plain,Front Closure,Comfortable,Full Sleeves,N/A,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
2472,Floral Lace Cami Midi Dress,"3,599","2,700",3.2,3.2,Casual,Lace,Floral,Zipper,Regular,Sleeveless,Midi,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,China
2473,Stylish Oversized Drop Shoulders Rust And Brown Woollen Sweaters For Women,"2,999",990,5.0,5.0,Casual,Wool,Self Design,Pull On,Free,Full Sleeves,N/A,N/A,Round Neck,A.k International,India
2474,Black Ditsy Printed Fit & Flare Dress,"3,299","1,485",5.0,5.0,Casual,Polyester,Printed,Pull On,Normal,Full Sleeves,Mini,N/A,Mandarin Neck,Vero Moda Retail Pvt. Ltd_parent,India
2475,Moonlight Lurex Dress,"2,750","2,750",3.7,3.7,Festive,Cotton Lurex,Self Design,Elastic,Semi-Fit,Balloon Sleeve,Midi,N/A,V-Neck,Divya Import Export,India
2476,7-8 High Waist Airlift Leggings Black,"15,399","13,090",NaN,0,Casual,Poly/Spandex,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,Vietnam
2477,Women Half Sleeve Off Shoulder Green Top,"2,699",945,4.2,4.2,Casual,Lace,Self Design,Pull On,Normal,Balloon Sleeve,Regular,N/A,Off Shoulder,Vero Moda Retail Pvt. Ltd_parent,India
2478,Disney: Sweet Disaster Oversized T-Shirts for Womens,"1,499",735,4.2,4.2,Casual,Cotton,Graphic,N/A,Boxy,Half Sleeves,N/A,N/A,Crew Neck,The Souled Store Private Limited_parent,India
2479,Blue Stripe Crop Cardigan,"2,990","1,495",4.0,4.0,Winter,Nylon,Stripes,Front Closure,Comfortable,Full Sleeves,N/A,N/A,V-Neck,Future Style Lab Limited_gurgaon,China
2480,Women Solid Green Jumpsuit,"4,499","2,025",4.0,4.0,Casual,Polyester,Solid/Plain,Zipper,Normal,Sleeveless,Jumpsuits,N/A,Shoulder Straps,Only Retail Private Limited_parent,India
2481,Basics Navy Blue Solid Round Neck Loose Crop T-shirt,745,485,4.3,4.3,Casual,Cotton,Solid/Plain,N/A,Loose,Half Sleeves,N/A,N/A,Round Neck,Nykaa Fashion Pvt Ltd,India
2482,Exposed Off Shoulder Black Crop Top,"2,850","2,708",1.7,1.7,Evening,Lycra,Solid/Plain,Back Closure,Skinny,Half Sleeves,Crop Tops,N/A,Off Shoulder,Innsaei Designs Llp,India
2483,Striped Asymmetric Top,"2,499","2,375",2.5,2.5,Casual,Cotton,Stripes,Zipper,Tailored,Flared Sleeves,Regular,N/A,Asymmetrical,Binfinite And Vara Lifestyle Private Limited,India
2484,Golabar green Shibori Printed Tiered Dress GGDRS23,"4,499","2,250",4.0,4.0,Party,Satin,Tie & Dye,Tie-Ups,Comfortable,Bell Sleeves,N/A,N/A,Round Neck,Nykaa Fashion Pvt Ltd,India
2485,Womens Stripes Pink Sweater,"3,299","1,485",4.3,4.3,Casual,Polyester,Stripes,Pull On,Boxy,Three Fourth Sleeves,N/A,N/A,Boat Neck,Only Retail Private Limited_parent,Bangladesh
2486,Laid Back Glam 2 Piece (Set of 2),"3,880","3,880",NaN,0,Work,Cotton,Solid/Plain,Button Fly,Comfortable,Full Sleeves,N/A,N/A,Collar Neck,Miakee,India
2487,Satin Solid Halter Top,"2,099","1,050",NaN,0,Casual,Satin,Solid/Plain,Back Closure,Regular,Sleeveless,Regular,N/A,Halter Neck,Nykaa Fashion Pvt Ltd,China
2488,Abbie Petite Ruffle Midi Dress (Set of 2),"8,600","8,600",NaN,0,Casual,Polyester,Ruffled,Button Fly,Normal,Balloon Sleeve,Midi,N/A,Ruffled Neck,Forever New Apparels Pvt Ltd_parent,China
2489,Women Printed Green Shirt,"2,799","1,260",NaN,0,Casual,Polyester,Printed,Button Fly,Normal,Balloon Sleeve,Shirts,N/A,Collar Neck,Only Retail Private Limited_parent,India
2490,Tropical Asymmetric Top And Trousers (Set of 2),"6,299","5,985",2.8,2.8,Work,Crepe,Solid/Plain,Side Closure,Tailored,Half Sleeves,N/A,N/A,One Shoulder,Binfinite And Vara Lifestyle Private Limited,India
2491,Work Green Solid Collarless High Low Crop Blazer,"4,795","3,836",4.6,4.6,Work,Polyester,Solid/Plain,Slip On,Comfortable,Full Sleeves,Blazer,N/A,Shawl Lapel,Nykaa Fashion Pvt Ltd,India
2492,Women Black Slim Fit High-rise Clean Look Stretchable Plus Size Jeans,"1,399","1,204",4.8,4.8,Casual,Cotton,Solid/Plain,N/A,Super Slim,N/A,N/A,High Waist,N/A,Mensa Brands Technologies Pvt. Limited_parent,India
2493,Black Solid Asymmetric Sequined Maxi Dress,"4,599","1,380",4.8,4.8,Party,Polyester,Embellished/Sequined,Zipper,Super Slim,Sleeveless,Maxi,N/A,V-Neck,Chase Lifestyle Private Limited_parent,India
2494,Tara Side Drape Gown,"21,899","21,899",NaN,0,Party,Blended Fabric,Solid/Plain,Pull On,Regular,Sleeveless,Midi,N/A,Off Shoulder,Nykaa Fashion Pvt Ltd,China
2495,Nykd All Day Comfy Cozy Top - NYAT201 Mellow Rose,"1,199",840,3.8,3.8,Casual,Polyester,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
2496,Green Solid Jumpsuit With Belt,"3,190","1,436",4.0,4.0,Party,Polyester,Solid/Plain,Zip,Regular,Sleeveless,Jumpsuits,N/A,Cowl Neck,Paccoperri Fashion House Llp.,India
2497,Lace Square Neck Wide Leg Jumpsuit,"9,099","8,190",4.0,4.0,Party,Polyester,Self Design,Pull On,Normal,Half Sleeves,Jumpsuits,N/A,Square Neck,Nykaa Fashion Pvt Ltd,Turkey
2498,Women Original Solids: Blue Tint Boyfriend Shirts,"1,999","1,456",4.2,4.2,Casual,Cotton,Solid/Plain,Button Fly,Boxy,Full Sleeves,Shirts,N/A,Collar Neck,The Souled Store Private Limited_parent,India
2499,Midnight Blue Tube Neck Animal Textured Mini Dress,"3,595","3,236",NaN,0,Party,Polyester,Textured,Zipper,Fitted,Sleeveless,Mini,N/A,Strapless/Tube,Nykaa Fashion Pvt Ltd,India
2500,Women Solid Light Grey Satin Formal Shirt,"1,299",799,4.8,4.8,Formal,Satin,Solid/Plain,Button Fly,Normal,Full Sleeves,Shirts,N/A,Collar Neck,Krislon Synthetics Pvt Ltd,India
2501,Blue And White Striped Full Sleeves Cotton Shirt,"2,195","1,756",4.3,4.3,Casual,Cotton,Stripes,Button Fly,Oversized,Full Sleeves,N/A,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,India
2502,Black Textured Rib Button Drawstring Midi Dress,"3,899","2,925",NaN,0,Casual,Knitted,Textured,Button Fly,Regular,Sleeveless,Midi,N/A,Scoop Neck,Nykaa Fashion Pvt Ltd,China
2503,Notch Lapel Belted Straight Leg Jumpsuit (Set of 2),"1,349","1,349",NaN,0,Work,Polyester,Solid/Plain,Zipper,Normal,Sleeveless,Jumpsuits,N/A,Notched Lapel,Premiere Retail Trading Private Limited,India
2504,Cotton Dolman Tee -NYLE278-Red Violet,799,799,4.3,4.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nykaa Fashion Pvt Ltd,India
2505,Jade White Crepe Co-Ord (Set of 3),"9,900","9,900",5.0,5.0,Festive,Crepe,Solid/Plain,Zipper,Tailored,Puff Sleeves,N/A,N/A,Notched Lapel,Ete Clothings,India
2506,Floral Ruffle Corset Crop Top,"4,199","2,520",NaN,0,Casual,Woven,Floral,Zipper,Regular,Sleeveless,Crop Tops,N/A,Shoulder Straps,Nykaa Fashion Pvt Ltd,China
2507,Women Dusty Pink Embellished Regular Jumpsuit,"4,949","1,881",4.0,4.0,Party,Polyester,Embellished/Sequined,Zip,Comfortable,Half Sleeves,Jumpsuits,N/A,Round Neck,Chase Lifestyle Private Limited_kolkatta,India
2508,Black Embellished Corset Style Top,"1,699","1,530",4.5,4.5,Party,Polyester,Embellished/Sequined,Zipper,Normal,Sleeveless,Crop Tops,N/A,Shoulder Straps,Aditya Birla Fashion And Retail Ltd (f21 Mp)_parent,Seychelles
2509,Black Mini Dress with Elongated Sleeves,"4,290","3,647",NaN,0,Party,Polyester,Solid/Plain,Zipper,Regular,Full Sleeves,Mini,N/A,Shoulder Straps,Cacti Designs Pvt Ltd,India
2510,Blue Relaxed Mid Rise High Distress Regular Non Stretchable Denim Shorts,"1,745",698,4.6,4.6,Casual,Denim,Solid/Plain,Button Fly,Comfortable,N/A,N/A,Mid Waist,N/A,Chase Lifestyle Private Limited_parent,India
2511,Blue Versatile Like My Style Denims,"2,995","1,797",4.4,4.4,Casual,Cotton,Solid/Plain,N/A,Skinny,N/A,N/A,High Waist,N/A,Nykaa Fashion Pvt Ltd,India
2512,Light Blue Long Sleeve Floral Print Top,"1,499","1,125",4.1,4.1,Casual,Blended Fabric,Floral,Button Fly,Normal,Full Sleeves,Regular,N/A,Sweetheart,Arvind Lifestyle Brands Limited-parent,India
2513,Orange Tube Neck Solid Corset Crop Top,"2,595","2,336",NaN,0,Party,Crepe,Solid/Plain,Tie-Ups,Fitted,Sleeveless,Crop Tops,N/A,Strapless/Tube,Nykaa Fashion Pvt Ltd,India
2514,Off Multi-Color Floral Printed Satin Shirt Midi Dress,"2,799",980,4.1,4.1,Casual,Satin,Floral,Front Closure,Normal,Half Sleeves,Midi,N/A,Collar Neck,Variation Design,India
2515,Blue Floral Jumpsuit,"2,349","1,175",4.2,4.2,Work,Crepe,Floral,Zip,Relaxed,Half Sleeves,Jumpsuits,N/A,Boat Neck,Chase Lifestyle Private Limited_kolkatta,India
2516,Silver Sequin Wrap Dress,"2,850","1,568",4.5,4.5,Winter,Net,Embellished/Sequined,Hook and Eye,Normal,Half Sleeves,Mini,N/A,V-Neck,High Street Essentials Private Limited_mp,India
2517,Lavender Slay Dress,"3,999","3,400",5.0,5.0,Festive,Cotton,Solid/Plain,Front Closure,Normal,Balloon Sleeve,Maxi,N/A,V-Neck,Swish Boss Apparels Pvt. Ltd.,India
2518,Dull Brown Solid Poly Viscose Womens Cargo Jogger,"3,899",974,3.7,3.7,Casual,Viscose,Solid/Plain,Drawstring,Normal,N/A,N/A,Mid Waist,N/A,Redtape Limited_parent,Bangladesh
2519,Women Red Typography Print Round Neck Boxy Fit Casual Crop T Shirt,999,850,5.0,5.0,Casual,Cotton,Typography,N/A,Boxy,Half Sleeves,N/A,N/A,Round Neck,Globus Stores Private Limited_parent,India
2520,Pink Pure Linen Full Sleeves Spread Collar Shirt,"2,999","2,550",4.3,4.3,Work,Linen,Solid/Plain,Button Fly,Normal,Full Sleeves,N/A,N/A,Collar Neck,Nykaa Fashion Pvt Ltd,Bangladesh
2521,Fits Me Fab T-Shirt,995,597,4.9,4.9,Casual,Cotton,Graphic,N/A,Fitted,Half Sleeves,N/A,N/A,Crew Neck,Nykaa Fashion Pvt Ltd,India
2522,"Essential Stretch Cotton Tee In Relaxed Fit , Nykd All Day-NYLE216 - Wistful Mauve",499,499,3.9,3.9,Everyday Essentials,Cotton,N/A,N/A,Relaxed,N/A,N/A,N/A,Boat Neck,Nykaa Fashion Pvt Ltd,India
